,Date,Value
160,31/05/2021,-0.3853445
161,30/06/2021,-0.37376169999999986
162,31/07/2021,-6.0685663000000005
163,31/08/2021,-0.7728844000000002
164,30/09/2021,1.7802044000000004
165,31/10/2021,-2.7649255
166,30/11/2021,-3.5288967000000007
167,31/12/2021,-2.3532824
168,31/01/2022,-4.260602199999999
169,28/02/2022,3.9852973
170,31/03/2022,-2.601514
171,30/04/2022,-1.122247600000001
172,31/05/2022,-0.031078599999999974
173,30/06/2022,-0.1203104999999996
174,31/07/2022,1.3545527999999987
175,31/08/2022,2.0775311000000003
176,30/09/2022,-0.41585979999999995
177,31/10/2022,3.0354513
178,30/11/2022,-3.3555050000000004
179,31/12/2022,-0.7512881999999999
180,31/01/2023,3.5300227000000004
181,28/02/2023,0.7908499
182,31/03/2023,-8.555113
183,30/04/2023,-3.3912154
184,31/05/2023,-1.2778263
185,30/06/2023,1.5873534999999994
186,31/07/2023,2.835494
